model,epoch,vs_baseline_wins,vs_baseline_total,vs_baseline_winrate,vs_random_wins,vs_random_total,vs_random_winrate,vs_prev_wins,vs_prev_total,vs_prev_winrate,elo_rating,elo_smooth,baseline_smooth,random_smooth,prev_smooth
20251007_0639-EXP_id03_epoch_0012,12,1250,50,2500.0,925,50,1850.0,625,50,1250.0,416.1144941651677,411.0830063650473,2500.0,1750.0,833.3333333333334
20250930_1010-EXP_id03_epoch_0012,12,1250,50,2500.0,900,50,1800.0,1250,50,2500.0,416.26024227155443,411.0329753039361,2500.0,1766.6666666666667,1250.0
20251005_2120-EXP_id03_epoch_0013,13,1250,50,2500.0,825,50,1650.0,625,50,1250.0,415.83543103088977,416.0700558225373,2500.0,1766.6666666666667,1666.6666666666667
20250925_1854-EXP_id03_epoch_0013,13,1250,50,2500.0,700,50,1400.0,625,50,1250.0,415.9729393400274,416.02287088082386,2500.0,1616.6666666666667,1666.6666666666667
20250922_1205-EXP_id03_epoch_0014,14,1250,50,2500.0,925,50,1850.0,625,50,1250.0,415.7018274581901,415.83673260970244,2500.0,1633.3333333333333,1250.0
20251005_2120-EXP_id03_epoch_0014,14,1250,50,2500.0,950,50,1900.0,625,50,1250.0,415.57199176237185,415.74891952019647,2500.0,1716.6666666666667,1250.0
20251005_2120-EXP_id03_epoch_0015,15,1250,50,2500.0,850,50,1700.0,625,50,1250.0,415.3231006523504,415.5323066243041,2500.0,1816.6666666666667,1250.0
20250922_1205-EXP_id03_epoch_0015,15,1250,50,2500.0,825,50,1650.0,625,50,1250.0,415.44579192106255,415.4469614452616,2500.0,1750.0,1250.0
20250922_1205-EXP_id03_epoch_0016,16,1250,50,2500.0,875,50,1750.0,625,50,1250.0,415.2037953069855,415.3242292934661,2500.0,1700.0,1250.0
20251005_2120-EXP_id03_epoch_0016,16,1250,50,2500.0,750,50,1500.0,625,50,1250.0,415.0877577519492,415.24578165999907,2500.0,1633.3333333333333,1250.0
20251006_2219-EXP_id03_epoch_0017,17,1250,50,2500.0,875,50,1750.0,625,50,1250.0,414.86503531944874,415.05219612612785,2500.0,1666.6666666666667,1250.0
20250925_1840-EXP_id03_epoch_0017,17,1250,50,2500.0,825,50,1650.0,625,50,1250.0,414.97487424749244,414.9758891062968,2500.0,1633.3333333333333,1250.0
20251007_0640-EXP_id03_epoch_0018,18,1250,50,2500.0,800,50,1600.0,625,50,1250.0,414.6540738367282,414.8313278012231,2500.0,1666.6666666666667,1250.0
20250930_0922-EXP_id03_epoch_0018,18,1250,50,2500.0,900,50,1800.0,625,50,1250.0,414.75813562836055,414.7956945708604,2500.0,1683.3333333333333,1250.0
20250930_1010-EXP_id03_epoch_0019,19,1250,50,2500.0,800,50,1600.0,625,50,1250.0,414.55275247548855,414.65498731352574,2500.0,1666.6666666666667,1250.0
20250922_1206-EXP_id03_epoch_0020,20,1250,50,2500.0,800,50,1600.0,625,50,1250.0,414.45407781065165,414.5883219715003,2500.0,1666.6666666666667,1250.0
20251005_2120-EXP_id03_epoch_0020,20,1250,50,2500.0,900,50,1800.0,625,50,1250.0,414.3579597108706,414.4549299990036,2500.0,1666.6666666666667,1250.0
20251007_0641-EXP_id03_epoch_0021,21,1250,50,2500.0,950,50,1900.0,625,50,1250.0,414.17304991126855,414.32836247759695,2500.0,1766.6666666666667,1250.0
20250930_0922-EXP_id03_epoch_0021,21,1250,50,2500.0,775,50,1550.0,0,50,0.0,398.26431151658574,408.9317737129083,2500.0,1750.0,833.3333333333334
20251001_0457-EXP_id03_epoch_0022,22,1250,50,2500.0,550,50,1100.0,1250,50,2500.0,414.08409479518866,408.840485407681,2500.0,1516.6666666666667,1250.0
20250925_1841-EXP_id03_epoch_0023,23,1250,50,2500.0,800,50,1600.0,0,50,0.0,397.99736916204273,403.44859182460567,2500.0,1416.6666666666667,833.3333333333334
20251006_2220-EXP_id03_epoch_0023,23,1250,50,2500.0,900,50,1800.0,625,50,1250.0,413.9127989787084,408.66475431197995,2500.0,1500.0,1250.0
20250930_1011-EXP_id03_epoch_0024,24,1250,50,2500.0,725,50,1450.0,625,50,1250.0,413.8303130683228,408.58016040302465,2500.0,1616.6666666666667,833.3333333333334
20250925_1841-EXP_id03_epoch_0025,25,1250,50,2500.0,850,50,1700.0,625,50,1250.0,413.7498429968323,413.83098501462115,2500.0,1650.0,1250.0
20251007_0641-EXP_id03_epoch_0025,25,1250,50,2500.0,700,50,1400.0,625,50,1250.0,413.6713229631106,413.7504930094219,2500.0,1516.6666666666667,1250.0
20251005_2121-EXP_id03_epoch_0026,26,625,50,1250.0,625,50,1250.0,0,50,0.0,397.59468969270785,408.3386185508836,2083.3333333333335,1450.0,833.3333333333334
20250930_0923-EXP_id03_epoch_0027,27,1250,50,2500.0,850,50,1700.0,625,50,1250.0,413.5198823352563,408.2619649970249,2083.3333333333335,1450.0,833.3333333333334
20251007_0642-EXP_id03_epoch_0028,28,1250,50,2500.0,850,50,1700.0,625,50,1250.0,413.3755134881519,408.1633618387054,2083.3333333333335,1550.0,833.3333333333334
20250925_1842-EXP_id03_epoch_0028,28,1250,50,2500.0,750,50,1500.0,625,50,1250.0,413.4468423655322,413.4474127296468,2500.0,1633.3333333333333,1250.0
20251006_2221-EXP_id03_epoch_0029,29,625,50,1250.0,750,50,1500.0,625,50,1250.0,413.30584154585904,413.3760657998477,2083.3333333333335,1566.6666666666667,1250.0
20251005_2121-EXP_id03_epoch_0030,30,1250,50,2500.0,875,50,1750.0,1250,50,2500.0,413.2377744313455,413.3301527809122,2083.3333333333335,1583.3333333333333,1666.6666666666667
20250930_1011-EXP_id03_epoch_0031,31,625,50,1250.0,675,50,1350.0,1250,50,2500.0,413.17126200253585,413.23829265991344,1666.6666666666667,1533.3333333333333,2083.3333333333335
